ID,Partei,Titel,Vorname,Nachname,Wahlkreis_ID,Wahlkreis_Name,Jahrgang,Geburtsort,Geburtsort_Location,Beruf,Geschlecht
114,BIG,,Rasit,Tanriverdi,81,Tempelhof-Schöneberg,1969,"Sarioglan, Türkei","39.08168, 35.976261",Diplom-Informatiker,m
115,FREIE WÄHLER,,Moritz,Enders,81,Tempelhof-Schöneberg,1964,Berlin,"52.516074, 13.376987",Drehbuchautor,m
116,Die PARTEI,,Chris,Schiller,81,Tempelhof-Schöneberg,1988,Malchin,"53.74256, 12.764051",Auszubildender,m
117,NPD,,Jan,Sturm,82,Neukölln,1965,Berlin,"52.516074, 13.376987",KFZ-Zweiradmechaniker,m
118,BüSo,,Mathias,Schulz,82,Neukölln,1980,Chemnitz,"50.836365, 12.92146",Chemikant,m
119,MLPD,,Andrew,Schlüter,82,Neukölln,1967,Berlin,"52.516074, 13.376987",Kunststoff-Formgeber,m
120,AfD,,Sari-Christoph,Saleh,82,Neukölln,1981,Berlin,"52.516074, 13.376987","Magister Islamwiss., Geschichte",m
121,FREIE WÄHLER,,Henryk,Parzatka-Lipinski,82,Neukölln,1956,"Tuchomie, Polen","54.10873, 17.329199",Diplom-Meister,m
122,Die PARTEI,,Georg,Kammerer,82,Neukölln,1981,Filderstadt,"48.67826, 9.21613",Student,m
123,NPD,,Sebastian,Schmidtke,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1985,Strausberg,"52.576717, 13.882065",Kaufmann,m
124,BüSo,,Alina,Popeanga,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1982,Brasov,"45.642314, 25.588544",Betriebswirtschaftl Ingenieurin,w
125,AfD,,Andreas,Dahl,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1970,Idar-Oberstein,"49.722795, 7.297686",Schlosser,m
126,BIG,,Ismet,Misirlioglu,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1966,Carsamba,"41.20445, 36.72232",Dipl. Ing.,m
127,FREIE WÄHLER,,Joachim,Hennig,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1952,Klostermansfeld,"51.583905, 11.493835",Sozialarbeiter,m
128,Die PARTEI,Dr.,Helena,Barbas,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1978,Itzehoe,"53.92361, 9.515245",Dipl.-Mathematikerin,w
129,Bergpartei,,Benjamin,Richter,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1983,Berlin,"52.516074, 13.376987",Student,m
130,DIE VIOLETTEN,,Jutta,Zedlitz,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1964,Uetersen,"53.68366, 9.662985",Religionslehrerin,w
131,HUNDEFREUNDE KREUZBERG,,Frank,Di Leo,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1967,Berlin,"52.516074, 13.376987",Hundetrainer,m
132,parteilos,,Markus,Beckmann,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1988,Kyritz,"52.93939, 12.396445",Student,m
133,NPD,,Udo,Voigt,84,Treptow-Köpenick,1952,Viersen,"51.2573, 6.39081",Politikwissenschaftler,m
134,BüSo,,Daniel,Buchmann,84,Treptow-Köpenick,1981,Berlin,"52.516074, 13.376987",Angestellter,m
135,MLPD,,Petra,Ilius,84,Treptow-Köpenick,1950,Cuxhaven,"53.858306, 8.697818",Lehrerin,w
136,AfD,,Bernd,Stahlberg,84,Treptow-Köpenick,1954,Berlin,"52.516074, 13.376987",Diplomingenieur,m
137,FREIE WÄHLER,,Detlef,Schmidt,84,Treptow-Köpenick,1953,Berlin,"52.516074, 13.376987","Angestellter, Diplomwirtschaft",m
138,Die PARTEI,,Katharina,Harling,84,Treptow-Köpenick,1985,Münster,"52.983213, 10.086841",Diplompsychologin,w
139,NPD,,Fritz,Liebenow,85,Marzahn-Hellersdorf,1949,Müncheberg,"52.501789, 14.14345","Fleischermeister, Rentner",m
140,BüSo,,Stefan,Tolksdorf,85,Marzahn-Hellersdorf,1979,Berlin,"52.516074, 13.376987",Kaufmännischer Angestellter,m
141,AfD,,Robin,Ebser,85,Marzahn-Hellersdorf,1980,Heilbronn-Neckargartach,"49.16856, 9.20144",Freiberuflicher Software-Ingenieur,m
142,pro Deutschland,,Manfred,Rouhs,85,Marzahn-Hellersdorf,1965,Krefeld,"51.3339, 6.5623",Verleger,m
143,FREIE WÄHLER,,Matthias,Schmidt,85,Marzahn-Hellersdorf,1976,Berlin,"52.516074, 13.376987",Kaufmännischer Angestellter,m
144,Die PARTEI,,Lea Joy,Friedel,85,Marzahn-Hellersdorf,1993,Fürth,"48.58967, 12.023785",Arbeitslos,w
145,"OTTO, André",,André,Otto,85,Marzahn-Hellersdorf,1971,Berlin,"52.516074, 13.376987",Rentner,m
146,NPD,,Manuela,Tönhardt,86,Lichtenberg,1952,Berlin,"52.516074, 13.376987","Kulturwiss, Busfahrerin",w
147,BüSo,,Daniel-Enrico,Grasenack-Tente,86,Lichtenberg,1984,"Wellington, Neuseeland","-41.280515, 174.767121",Kaufmännischer Angestellter,m
148,AfD,,Christian,Jacken,86,Lichtenberg,1977,München,"48.136415, 11.577531","Bürgerrechtler, Internetberater",m
149,FREIE WÄHLER,,Jasmin,Wache,86,Lichtenberg,1988,Berlin,"52.516074, 13.376987",Zahnmed. Fachangestellte,w
150,unabhängig und bürgerbestimmt,,Oliver,Snelinski,86,Lichtenberg,1980,Rüdersdorf bei Berlin,"52.49889, 13.389855",Lehreranwärter,m
